Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance,team_name_clean,team_name_alias_applied,team_name_original
2014-15,11,Getafe,1–0,1–2,0–1,0–0,2–1,1–1,2–1,1–1,0–0,2–1,,1–2,0–1,1–0,1–2,0–3,0–1,2–1,0–3,1–1,,,15,38,10,7,21,37,0.2631578947368421,0.5526315789473685,0.3245614035087719,Getafe,False,Getafe
2014-15,12,Granada,0–0,0–0,0–0,1–3,1–1,2–0,2–1,0–0,1–0,1–2,1–1,,0–1,1–0,0–1,0–4,1–1,1–1,1–1,0–0,,,17,38,7,14,17,35,0.1842105263157894,0.4473684210526316,0.3070175438596491,Granada,False,Granada
2014-15,13,Levante,2–1,0–2,2–2,0–5,0–1,1–0,0–0,2–1,0–0,2–2,1–1,2–1,,4–1,0–2,0–5,1–1,1–2,2–1,0–2,,,14,38,9,10,19,37,0.2368421052631578,0.5,0.3245614035087719,Levante,False,Levante
2014-15,14,Málaga,1–2,1–0,2–2,0–0,1–0,2–0,1–1,2–1,1–2,0–2,3–2,2–1,0–0,,4–0,1–2,1–1,2–3,1–0,1–1,,,9,38,14,8,16,50,0.3684210526315789,0.4210526315789473,0.4385964912280701,Málaga,False,Málaga
2014-15,15,Rayo Vallecano,2–0,2–1,0–0,0–2,1–0,0–1,1–2,2–3,2–3,1–3,2–0,3–1,4–2,1–0,,0–2,2–4,0–1,1–1,2–0,,,11,38,15,4,19,49,0.3947368421052631,0.5,0.4298245614035088,Rayo Vallecano,False,Rayo Vallecano
2014-15,16,Real Madrid,3–0,5–0,1–2,3–1,3–0,2–0,2–0,3–0,5–1,3–0,7–3,9–1,2–0,3–1,5–1,,4–1,2–1,2–2,1–1,,,2,38,30,2,6,92,0.7894736842105263,0.1578947368421052,0.8070175438596491,Real Madrid,False,Real Madrid
2014-15,17,Real Sociedad,1–2,1–1,2–1,1–0,1–1,3–1,2–2,1–0,3–0,1–0,1–2,0–3,3–0,0–1,0–1,4–2,,4–3,1–1,0–0,,,12,38,11,13,14,46,0.2894736842105263,0.3684210526315789,0.4035087719298245,Real Sociedad,False,Real Sociedad
2014-15,18,Sevilla,2–1,2–0,0–0,2–2,1–0,3–0,4–1,0–0,3–0,3–2,2–0,5–1,1–1,2–0,2–0,2–3,1–0,,1–1,2–1,,,5,38,23,7,8,76,0.6052631578947368,0.2105263157894736,0.6666666666666666,Sevilla FC,True,Sevilla
2014-15,19,Valencia,3–2,0–0,3–1,0–1,1–1,3–0,2–0,3–1,3–1,3–1,1–0,4–0,3–0,3–0,3–0,2–1,2–0,3–1,,0–0,,,4,38,22,11,5,77,0.5789473684210527,0.131578947368421,0.6754385964912281,Valencia CF,True,Valencia
2014-15,20,Villarreal,2–0,2–0,0–1,0–1,4–1,0–0,3–0,1–0,1–0,0–3,2–1,2–0,1–0,2–1,4–2,0–2,4–0,0–2,1–3,,,,6,38,16,12,10,60,0.4210526315789473,0.2631578947368421,0.5263157894736842,Villarreal,False,Villarreal
2013-14,1,Almería,,0–0,2–0,0–2,3–2,2–4,2–2,0–0,1–0,3–0,2–2,0–0,1–2,0–1,0–5,4–3,1–3,2–2,1–0,2–3,,,17,38,11,7,20,40,0.2894736842105263,0.5263157894736842,0.3508771929824561,Almería,False,Almería
2013-14,2,Athletic Bilbao,6–1,,1–2,1–0,2–1,3–2,2–2,1–2,1–0,4–0,2–1,3–0,2–0,2–1,1–1,1–1,3–1,1–1,4–2,2–0,,,4,38,20,10,8,70,0.5263157894736842,0.2105263157894736,0.6140350877192983,Athletic Bilbao,False,Athletic Bilbao
2013-14,3,Atlético Madrid,4–2,2–0,,0–0,5–0,2–1,2–0,1–0,7–0,1–0,3–2,1–1,2–1,5–0,2–2,4–0,1–1,3–0,3–0,1–0,,,1,38,28,6,4,90,0.7368421052631579,0.1052631578947368,0.7894736842105263,Atlético Madrid,False,Atlético Madrid
2013-14,4,Barcelona,4–1,2–1,1–1,,3–1,3–0,4–0,1–0,2–2,4–0,7–0,3–0,7–0,6–0,2–1,4–1,3–2,2–3,4–1,2–1,,,2,38,27,6,5,87,0.7105263157894737,0.131578947368421,0.7631578947368421,FC Barcelona,True,Barcelona
2013-14,5,Betis,0–1,0–2,0–2,1–4,,1–2,1–2,2–0,2–0,0–0,0–0,1–2,1–2,2–2,0–5,0–1,0–2,3–1,4–3,1–0,,,9,38,14,7,17,49,0.3684210526315789,0.4473684210526316,0.4298245614035088,Real Betis,True,Betis
2013-14,6,Celta Vigo,3–1,0–0,0–2,0–3,4–2,,0–1,2–2,1–1,1–1,0–1,0–2,1–1,0–2,2–0,2–2,1–0,2–1,4–1,0–0,,,16,38,9,13,16,40,0.2368421052631578,0.4210526315789473,0.3508771929824561,Celta de Vigo,True,Celta Vigo
2013-14,7,Elche,1–0,0–0,0–2,0–0,0–0,1–0,,2–1,1–0,0–1,1–1,0–1,0–0,2–0,1–2,1–1,1–1,2–1,0–0,0–1,,,14,38,11,9,18,42,0.2894736842105263,0.4736842105263157,0.3684210526315789,Elche,False,Elche
2013-14,8,Espanyol,1–2,3–2,1–0,0–1,0–0,1–0,3–1,,0–2,1–0,0–0,0–0,1–1,2–2,0–1,1–2,1–3,3–1,4–2,1–2,,,13,38,11,9,18,42,0.2894736842105263,0.4736842105263157,0.3684210526315789,RCD Espanyol,True,Espanyol
2013-14,9,Getafe,2–2,0–1,0–2,2–5,3–1,2–0,1–1,0–0,,3–3,1–0,1–0,2–1,0–1,0–3,2–2,1–0,0–1,0–0,0–1,,,15,38,12,5,21,41,0.3157894736842105,0.5526315789473685,0.3596491228070175,Getafe,False,Getafe
