Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1950-51,6,Celta,6–2,4–1,0–2,2–2,2–1,,1–2,2–0,4–0,4–1,1–0,2–2,3–1,3–0,5–1,0–1,,,,,,,12,30,13,4,13,43,0.43333333333333335,0.43333333333333335,0.4777777777777778
1950-51,7,Deportivo La Coruña,4–0,4–0,3–0,2–0,2–2,4–1,,4–1,10–1,4–1,0–1,5–0,1–1,0–3,1–0,0–1,,,,,,,11,30,13,4,13,43,0.43333333333333335,0.43333333333333335,0.4777777777777778
1950-51,8,Español,5–3,3–2,4–3,6–0,4–2,3–1,3–2,,8–0,7–0,2–0,7–1,2–1,2–4,2–2,3–2,,,,,,,16,30,6,1,23,19,0.2,0.7666666666666667,0.2111111111111111
1950-51,9,Lérida,3–1,0–3,3–4,0–3,2–5,2–3,1–0,5–4,,3–2,4–2,1–6,1–0,4–5,1–6,2–2,,,,,,,13,30,12,5,13,41,0.4,0.43333333333333335,0.45555555555555555
1950-51,10,Murcia,3–1,3–6,1–3,3–2,4–0,1–2,2–0,0–0,3–2,,2–0,2–5,2–1,3–2,2–4,1–2,,,,,,,14,30,8,3,19,27,0.26666666666666666,0.6333333333333333,0.3
1950-51,11,Real Santander,3–1,1–0,1–0,2–2,0–0,2–1,4–2,4–3,5–1,4–0,,1–0,1–1,2–2,0–2,4–1,,,,,,,9,30,13,5,12,44,0.43333333333333335,0.4,0.4888888888888889
1950-51,12,Real Madrid,7–0,2–2,3–6,4–1,1–1,1–1,2–1,6–2,7–0,6–0,0–1,,7–2,3–3,3–2,2–1,,,,,,,10,30,12,6,12,42,0.4,0.4,0.4666666666666667
1950-51,13,Real Sociedad,3–1,3–0,1–1,3–1,4–1,5–1,5–1,3–1,2–0,7–0,5–0,6–2,,1–0,3–0,5–2,,,,,,,5,30,15,5,10,50,0.5,0.3333333333333333,0.5555555555555556
1950-51,14,Sevilla,7–1,1–0,1–1,4–0,4–2,3–0,3–1,5–2,5–0,5–0,4–0,4–0,2–1,,4–0,4–0,,,,,,,2,30,17,4,9,55,0.5666666666666667,0.3,0.6111111111111112
1950-51,15,Valencia,4–1,3–1,1–0,4–2,3–1,0–1,0–3,3–2,4–1,2–0,3–3,2–1,1–1,4–0,,4–1,,,,,,,3,30,17,3,10,54,0.5666666666666667,0.3333333333333333,0.6
1950-51,16,Valladolid,0–1,4–2,3–3,1–0,1–0,3–1,2–0,1–1,2–0,4–0,4–1,0–1,3–2,4–1,0–1,,,,,,,,6,30,14,5,11,47,0.4666666666666667,0.36666666666666664,0.5222222222222223
1949-50,1,Atlético Bilbao,,1–0,3–1,4–1,2–2,4–0,7–0,2–1,3–0,6–2,5–2,2–3,3–6,3–2,,,,,,,,,6,26,12,5,9,41,0.46153846153846156,0.34615384615384615,0.5256410256410257
1949-50,2,Atlético Madrid,6–6,,4–1,4–2,6–1,5–2,5–1,3–2,4–1,5–1,5–3,0–1,4–4,2–1,,,,,,,,,1,26,15,3,8,48,0.5769230769230769,0.3076923076923077,0.6153846153846154
1949-50,3,Barcelona,5–0,1–0,,2–1,2–0,1–2,10–1,4–0,5–0,2–3,2–0,7–0,2–0,2–2,,,,,,,,,5,26,13,3,10,42,0.5,0.38461538461538464,0.5384615384615384
1949-50,4,Celta,1–1,2–0,6–4,,2–3,4–1,10–1,1–0,3–1,5–2,0–1,4–2,3–2,4–0,,,,,,,,,7,26,13,2,11,41,0.5,0.4230769230769231,0.5256410256410257
1949-50,5,Deportivo La Coruña,1–1,3–1,3–0,1–1,,2–1,1–0,1–0,2–2,3–0,4–4,3–0,5–1,1–0,,,,,,,,,2,26,12,8,6,44,0.46153846153846156,0.23076923076923078,0.5641025641025641
1949-50,6,Español,4–1,0–2,2–2,3–0,3–2,,3–1,2–2,1–1,1–1,2–2,2–1,6–4,0–4,,,,,,,,,11,26,8,6,12,30,0.3076923076923077,0.46153846153846156,0.38461538461538464
1949-50,7,Gimnástico,5–3,0–4,1–4,1–5,3–2,3–1,,5–1,3–2,0–3,2–1,2–4,1–1,4–1,,,,,,,,,13,26,7,2,17,23,0.2692307692307692,0.6538461538461539,0.2948717948717949
1949-50,8,Málaga,2–3,3–3,0–0,2–0,2–1,4–1,5–1,,2–1,1–3,5–2,2–0,1–2,2–1,,,,,,,,,12,26,8,5,13,29,0.3076923076923077,0.5,0.3717948717948718
1949-50,9,Oviedo,3–1,1–3,0–2,1–2,0–2,2–3,1–1,2–2,,2–0,0–0,1–0,2–0,2–2,,,,,,,,,14,26,4,7,15,19,0.15384615384615385,0.5769230769230769,0.24358974358974358
1949-50,10,Real Madrid,2–2,4–2,6–1,1–0,1–1,1–1,5–1,2–1,6–2,,2–2,4–2,2–2,1–1,,,,,,,,,4,26,11,9,6,42,0.4230769230769231,0.23076923076923078,0.5384615384615384
1949-50,11,Real Sociedad,2–3,4–1,2–4,4–0,0–1,5–0,3–1,1–0,7–0,1–1,,5–0,1–1,1–1,,,,,,,,,8,26,9,9,8,36,0.34615384615384615,0.3076923076923077,0.46153846153846156
1949-50,12,Sevilla,5–3,0–1,5–2,4–3,2–2,2–1,9–0,3–1,7–0,2–1,3–4,,2–2,2–3,,,,,,,,,10,26,11,3,12,36,0.4230769230769231,0.46153846153846156,0.46153846153846156
1949-50,13,Valencia,4–1,6–0,4–0,1–2,3–0,4–0,5–1,4–0,2–1,2–2,0–0,5–0,,4–1,,,,,,,,,3,26,12,7,7,43,0.46153846153846156,0.2692307692307692,0.5512820512820513
1949-50,14,Valladolid,6–2,0–1,2–1,4–1,1–1,4–0,3–0,3–3,2–2,1–4,0–0,1–1,3–2,,,,,,,,,,9,26,8,9,9,33,0.3076923076923077,0.34615384615384615,0.4230769230769231
1948-49,1,Alcoyano,,1–0,0–0,1–2,1–0,1–0,2–0,2–2,2–1,2–2,2–1,2–0,0–1,2–1,,,,,,,,,13,26,8,5,13,29,0.3076923076923077,0.5,0.3717948717948718
1948-49,2,Atlético Bilbao,3–0,,1–3,2–0,3–2,3–1,4–3,4–1,0–1,2–3,7–2,4–0,3–2,7–2,,,,,,,,,6,26,11,2,13,35,0.4230769230769231,0.5,0.44871794871794873
1948-49,3,Atlético Madrid,4–0,3–2,,2–0,3–0,4–0,2–1,1–0,6–0,0–2,6–0,1–1,2–2,2–0,,,,,,,,,4,26,15,4,7,49,0.5769230769230769,0.2692307692307692,0.6282051282051282
1948-49,4,Barcelona,4–0,5–2,4–0,,3–1,5–2,2–1,3–1,5–2,3–1,4–1,2–1,4–3,6–0,,,,,,,,,1,26,16,5,5,53,0.6153846153846154,0.19230769230769232,0.6794871794871795
1948-49,5,Celta,5–1,3–4,2–2,2–2,,1–1,2–1,6–4,2–1,3–1,3–2,3–1,4–2,2–0,,,,,,,,,11,26,9,4,13,31,0.34615384615384615,0.5,0.3974358974358974
1948-49,6,Deportivo La Coruña,6–1,3–1,3–1,2–2,3–3,,3–0,6–2,1–2,0–3,5–2,2–0,1–2,5–0,,,,,,,,,10,26,9,4,13,31,0.34615384615384615,0.5,0.3974358974358974
1948-49,7,Español,1–1,1–1,4–1,1–1,5–0,4–1,,5–4,0–0,3–2,6–2,1–0,3–0,5–1,,,,,,,,,7,26,10,4,12,34,0.38461538461538464,0.46153846153846156,0.4358974358974359
1948-49,8,Gimnástico,3–1,3–1,2–1,2–2,3–2,1–4,4–1,,2–4,3–3,3–2,1–3,6–1,4–2,,,,,,,,,9,26,10,3,13,33,0.38461538461538464,0.5,0.4230769230769231
1948-49,9,Oviedo,1–1,6–3,2–0,2–0,5–2,4–1,3–0,0–2,,1–1,5–4,0–1,2–1,2–1,,,,,,,,,5,26,13,4,9,43,0.5,0.34615384615384615,0.5512820512820513
1948-49,10,Real Madrid,3–1,4–2,1–2,1–2,6–0,3–1,3–1,3–1,0–2,,5–1,1–0,4–3,4–1,,,,,,,,,3,26,15,4,7,49,0.5769230769230769,0.2692307692307692,0.6282051282051282
1948-49,11,Sabadell,3–1,2–2,1–3,1–0,3–0,4–4,2–0,2–3,2–2,1–2,,1–3,0–3,3–1,,,,,,,,,14,26,5,3,18,18,0.19230769230769232,0.6923076923076923,0.23076923076923078
1948-49,12,Sevilla,2–0,6–0,0–1,1–2,2–1,3–1,0–3,3–1,1–0,1–5,4–1,,0–2,2–1,,,,,,,,,8,26,11,1,14,34,0.4230769230769231,0.5384615384615384,0.4358974358974359
1948-49,13,Valencia,5–3,5–0,4–3,4–2,1–0,7–1,4–1,7–0,3–1,4–4,3–0,2–0,,6–2,,,,,,,,,2,26,16,3,7,51,0.6153846153846154,0.2692307692307692,0.6538461538461539
1948-49,14,Valladolid,4–2,1–0,0–1,1–1,4–2,1–0,1–0,3–1,2–1,2–0,4–0,2–0,1–1,,,,,,,,,,12,26,10,2,14,32,0.38461538461538464,0.5384615384615384,0.41025641025641024
1947-48,1,Alcoyano,,0–4,1–0,0–2,2–0,1–0,2–1,3–1,6–1,2–1,3–1,3–0,1–1,0–2,,,,,,,,,10,26,9,4,13,31,0.34615384615384615,0.5,0.3974358974358974
1947-48,2,Atlético Bilbao,6–1,,0–1,3–2,5–0,1–2,7–0,5–1,0–0,3–0,1–3,3–1,2–2,2–1,,,,,,,,,6,26,12,4,10,40,0.46153846153846156,0.38461538461538464,0.5128205128205128
1947-48,3,Atlético Madrid,3–2,1–1,,2–2,3–1,5–2,5–2,4–0,5–3,5–0,4–3,8–0,5–3,2–2,,,,,,,,,3,26,13,7,6,46,0.5,0.23076923076923078,0.5897435897435898
1947-48,4,Barcelona,3–0,3–0,2–1,,1–1,5–1,1–1,2–1,4–0,4–2,6–0,2–1,6–0,1–1,,,,,,,,,1,26,15,7,4,52,0.5769230769230769,0.15384615384615385,0.6666666666666666
