Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1987-88,8,Las Palmas,3–1,0–3,1–2,1–2,1–0,2–0,0–2,,0–2,1–2,1–0,0–2,0–2,3–2,0–2,1–2,5–2,2–1,4–0,2–1,,,13,38,12,9,17,45,0.3157894736842105,0.4473684210526316,0.39473684210526316
1987-88,9,Logroñés,1–1,0–2,0–1,2–0,1–2,0–0,2–1,1–1,,1–0,1–0,0–1,1–3,1–1,1–1,2–1,1–0,2–1,1–0,2–1,,,18,38,9,12,17,39,0.23684210526315788,0.4473684210526316,0.34210526315789475
1987-88,10,Mallorca,0–1,1–1,1–0,3–1,1–4,0–0,3–0,0–0,4–0,,3–3,2–1,0–2,1–1,2–0,1–0,2–0,2–3,0–2,0–0,,,17,38,9,13,16,40,0.23684210526315788,0.42105263157894735,0.3508771929824561
1987-88,11,Murcia,2–3,0–0,0–0,2–0,0–0,1–0,0–1,2–0,2–3,0–0,,1–0,1–1,1–2,2–0,1–0,0–0,0–0,1–1,1–1,,,5,38,15,10,13,55,0.39473684210526316,0.34210526315789475,0.4824561403508772
1987-88,12,Osasuna,3–1,2–1,1–1,1–0,1–1,3–0,0–0,2–1,2–0,1–0,1–0,,2–1,1–2,0–0,1–3,0–0,1–1,4–1,4–1,,,16,38,14,5,19,47,0.3684210526315789,0.5,0.41228070175438597
1987-88,13,Real Madrid,5–0,0–4,2–1,6–0,4–0,2–0,2–0,5–0,2–0,3–1,3–1,3–0,,1–0,3–1,3–1,7–0,4–0,2–1,2–1,,,1,38,28,6,4,90,0.7368421052631579,0.10526315789473684,0.7894736842105263
1987-88,14,Real Sociedad,0–1,0–0,4–1,3–2,2–1,3–2,1–0,3–2,4–0,1–0,0–1,0–0,2–2,,1–0,0–1,3–0,3–0,1–0,2–1,,,2,38,22,7,9,73,0.5789473684210527,0.23684210526315788,0.6403508771929824
1987-88,15,Sabadell,3–1,1–1,0–1,2–1,0–1,0–0,2–2,2–1,0–1,2–0,0–0,0–0,0–2,0–2,,2–1,1–0,1–0,0–0,1–2,,,19,38,9,11,18,38,0.23684210526315788,0.47368421052631576,0.3333333333333333
1987-88,16,Sevilla,1–1,1–1,1–1,1–2,2–1,0–3,2–2,4–0,2–0,0–0,1–2,0–2,1–1,1–0,2–0,,2–0,0–0,1–0,1–1,,,10,38,13,11,14,50,0.34210526315789475,0.3684210526315789,0.43859649122807015
1987-88,17,Sporting Gijón,2–2,2–0,1–0,1–0,3–0,4–1,1–2,4–1,1–0,2–1,1–1,1–0,1–2,1–1,3–0,0–0,,2–2,0–0,2–1,,,9,38,14,10,14,52,0.3684210526315789,0.3684210526315789,0.45614035087719296
1987-88,18,Valencia,1–2,3–4,1–1,1–0,1–1,2–0,2–0,3–1,2–0,1–1,2–0,1–0,1–1,0–1,2–1,1–1,1–1,,0–1,1–3,,,14,38,10,13,15,43,0.2631578947368421,0.39473684210526316,0.37719298245614036
1987-88,19,Valladolid,1–0,0–0,1–1,1–0,1–0,0–0,1–0,0–0,1–0,2–0,1–0,3–0,0–2,0–1,0–0,0–0,2–0,2–1,,1–1,,,8,38,13,12,13,51,0.34210526315789475,0.34210526315789475,0.4473684210526316
1987-88,20,Zaragoza,1–1,2–2,1–1,3–1,1–1,1–1,1–1,1–3,1–0,1–0,2–1,1–0,1–7,1–0,1–2,8–1,2–0,2–2,1–1,,,,11,38,11,14,13,47,0.2894736842105263,0.34210526315789475,0.41228070175438597
1986-87,1,Athletic Bilbao,,3–0,2–2,0–0,0–0,2–1,3–0,2–1,2–0,4–1,1–2,1–2,1–1,4–2,0–1,0–0,1–0,1–0,,,,,13,34,11,9,14,42,0.3235294117647059,0.4117647058823529,0.4117647058823529
1986-87,2,Atlético Madrid,2–0,,0–4,1–1,2–0,1–1,1–1,3–1,2–0,1–0,0–1,1–1,1–0,1–1,0–2,1–0,1–0,2–1,,,,,7,34,13,9,12,48,0.38235294117647056,0.35294117647058826,0.47058823529411764
1986-87,3,FC Barcelona,4–1,1–1,,2–0,2–0,1–0,4–0,3–1,2–0,4–2,2–0,3–2,1–0,3–1,1–0,0–4,3–0,0–0,,,,,2,34,18,13,3,67,0.5294117647058824,0.08823529411764706,0.6568627450980392
1986-87,4,Betis,0–0,2–1,0–1,,4–1,2–0,3–1,1–0,3–1,0–0,2–0,2–6,1–0,1–0,0–0,1–0,2–1,0–1,,,,,18,34,8,7,19,31,0.23529411764705882,0.5588235294117647,0.30392156862745096
1986-87,5,Cádiz CF,1–0,0–1,0–1,1–1,,0–2,1–2,1–0,0–1,0–0,3–0,0–0,1–0,3–1,2–0,2–0,1–1,0–1,,,,,3,34,17,9,8,60,0.5,0.23529411764705882,0.5882352941176471
1986-87,6,RCD Español,2–1,2–1,1–1,3–1,1–0,,3–1,3–1,2–0,1–0,2–0,0–0,2–2,3–1,5–1,0–0,1–0,2–0,,,,,14,34,11,7,16,40,0.3235294117647059,0.47058823529411764,0.39215686274509803
1986-87,7,UD Las Palmas,2–1,2–1,0–0,0–0,5–0,3–2,,3–0,1–1,2–0,3–2,0–1,0–1,0–0,2–1,3–4,2–0,1–1,,,,,5,34,14,8,12,50,0.4117647058823529,0.35294117647058826,0.49019607843137253
1986-87,8,RCD Mallorca,1–1,4–3,1–1,3–1,0–1,1–1,4–0,,1–0,0–0,3–1,1–0,1–0,1–0,1–1,1–0,3–2,2–0,,,,,11,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1986-87,9,Murcia,2–0,2–1,1–0,3–0,1–0,1–4,1–0,2–0,,0–0,2–1,1–3,1–2,2–0,2–1,2–0,1–0,1–2,,,,,15,34,8,11,15,35,0.23529411764705882,0.4411764705882353,0.3431372549019608
1986-87,10,Osasuna,0–1,0–2,0–2,2–1,3–0,1–0,2–1,0–0,0–0,,2–0,1–0,1–3,1–1,1–1,0–2,1–0,1–0,,,,,16,34,9,8,17,35,0.2647058823529412,0.5,0.3431372549019608
1986-87,11,Racing de Santander,2–1,1–1,0–0,2–0,2–1,1–3,1–0,1–2,1–1,1–1,,0–0,1–0,3–0,2–0,1–2,0–0,1–2,,,,,8,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1986-87,12,Real Madrid,2–4,4–1,1–1,3–0,2–1,1–0,1–1,3–0,1–0,2–1,3–0,,1–0,4–0,2–1,2–2,2–1,3–1,,,,,1,34,20,10,4,70,0.5882352941176471,0.11764705882352941,0.6862745098039216
1986-87,13,Real Sociedad,2–1,0–1,1–1,1–0,4–0,3–3,2–1,7–1,1–1,2–0,1–1,0–2,,4–1,0–2,2–1,1–2,1–0,,,,,10,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1986-87,14,CE Sabadell FC,0–0,0–2,1–1,1–1,1–0,1–1,1–0,1–3,1–0,3–1,1–1,0–1,2–2,,2–2,0–0,1–0,1–0,,,,,17,34,7,11,16,32,0.20588235294117646,0.47058823529411764,0.3137254901960784
1986-87,15,Sevilla FC,3–1,3–0,0–0,1–2,0–0,1–0,1–0,2–1,4–0,1–1,2–0,0–1,1–1,0–1,,3–0,2–1,3–0,,,,,9,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1986-87,16,Sporting de Gijón,2–0,1–1,0–0,3–0,2–1,0–1,1–2,2–2,4–1,3–0,2–1,2–2,0–1,2–1,3–1,,3–1,1–0,,,,,4,34,14,9,11,51,0.4117647058823529,0.3235294117647059,0.5
1986-87,17,Valladolid,2–0,0–0,0–0,2–1,1–1,1–0,2–1,0–1,4–0,1–1,2–0,1–1,1–0,1–0,1–0,2–0,,1–1,,,,,12,34,11,9,14,42,0.3235294117647059,0.4117647058823529,0.4117647058823529
1986-87,18,Zaragoza,0–0,1–0,2–0,2–3,1–0,0–0,2–1,0–0,0–0,1–0,4–1,2–2,1–0,2–1,2–0,1–1,0–0,,,,,,6,34,13,10,11,49,0.38235294117647056,0.3235294117647059,0.4803921568627451
1985-86,1,Athletic Bilbao,,1–1,2–1,2–1,2–0,3–1,1–0,1–0,1–1,2–0,3–0,1–2,2–0,3–1,2–0,2–2,3–3,1–1,,,,,3,34,17,9,8,60,0.5,0.23529411764705882,0.5882352941176471
1985-86,2,Atlético Madrid,3–1,,2–1,2–1,2–1,3–1,2–0,1–0,1–0,1–0,2–0,0–1,3–1,3–0,1–1,5–0,1–4,0–2,,,,,5,34,17,8,9,59,0.5,0.2647058823529412,0.5784313725490197
1985-86,3,FC Barcelona,3–1,2–1,,1–2,1–0,1–1,0–0,3–1,3–1,2–2,2–0,2–0,2–3,0–0,2–0,3–0,4–0,2–0,,,,,2,34,18,9,7,63,0.5294117647058824,0.20588235294117646,0.6176470588235294
1985-86,4,Betis,2–0,2–2,1–1,,4–1,3–2,1–0,1–0,1–1,1–0,1–1,2–2,1–3,1–0,1–1,0–0,1–1,0–1,,,,,15,34,9,8,17,35,0.2647058823529412,0.5,0.3431372549019608
1985-86,5,Cádiz CF,1–1,2–0,1–3,0–0,,1–0,0–0,2–0,1–0,2–0,2–1,1–3,3–0,0–4,0–0,2–3,1–0,1–3,,,,,18,34,5,4,25,19,0.14705882352941177,0.7352941176470589,0.18627450980392157
1985-86,6,Celta de Vigo,0–1,0–1,0–2,0–1,1–2,,2–1,1–2,4–0,2–0,1–2,1–5,1–3,1–2,1–1,1–0,3–2,1–2,,,,,11,34,11,9,14,42,0.3235294117647059,0.4117647058823529,0.4117647058823529
1985-86,7,RCD Español,1–0,1–2,5–3,2–0,5–0,1–0,,4–1,2–0,0–1,2–0,1–2,2–2,4–2,0–0,2–1,2–1,1–2,,,,,17,34,8,6,20,30,0.23529411764705882,0.5882352941176471,0.29411764705882354
1985-86,8,Hércules CF,0–1,2–2,1–2,2–3,1–1,5–2,1–1,,2–0,1–1,1–0,0–3,2–0,2–1,0–1,3–2,1–0,2–2,,,,,13,34,9,9,16,36,0.2647058823529412,0.47058823529411764,0.35294117647058826
1985-86,9,UD Las Palmas,2–2,1–3,3–0,1–0,2–2,1–1,3–1,2–1,,0–0,1–0,4–3,1–2,2–5,1–3,2–0,1–0,2–2,,,,,14,34,9,9,16,36,0.2647058823529412,0.47058823529411764,0.35294117647058826
1985-86,10,Osasuna,0–1,1–1,0–1,1–0,0–0,2–1,2–0,1–0,0–1,,1–1,0–1,1–2,0–0,1–2,2–0,2–1,2–1,,,,,12,34,10,11,13,41,0.29411764705882354,0.38235294117647056,0.4019607843137255
1985-86,11,Racing de Santander,0–0,2–0,0–0,1–1,3–0,3–0,2–2,4–1,0–0,1–0,,1–1,2–0,1–0,0–1,2–2,1–1,2–3,,,,,8,34,11,13,10,46,0.3235294117647059,0.29411764705882354,0.45098039215686275
1985-86,12,Real Madrid,2–0,2–1,3–1,4–1,3–1,4–0,4–1,4–0,5–1,2–0,1–0,,1–0,2–1,2–1,5–0,2–1,1–0,,,,,1,34,26,4,4,82,0.7647058823529411,0.11764705882352941,0.803921568627451
1985-86,13,Real Sociedad,1–0,2–3,1–5,2–2,4–0,1–1,1–0,6–0,6–0,1–0,1–1,5–3,,1–0,2–1,6–0,2–1,2–0,,,,,7,34,17,5,12,56,0.5,0.35294117647058826,0.5490196078431373
1985-86,14,Sevilla FC,0–0,2–1,0–0,1–0,3–0,2–1,1–1,0–0,4–0,1–0,0–1,2–2,3–1,,0–0,0–2,1–0,0–0,,,,,9,34,12,10,12,46,0.35294117647058826,0.35294117647058826,0.45098039215686275
1985-86,15,Sporting de Gijón,1–0,1–1,1–1,0–0,2–2,2–0,1–1,3–1,1–0,1–2,2–0,0–2,0–0,2–1,,1–0,3–0,2–2,,,,,6,34,13,15,6,54,0.38235294117647056,0.17647058823529413,0.5294117647058824
1985-86,16,Valencia CF,1–2,1–1,1–2,0–2,1–0,3–1,0–0,3–1,1–1,1–1,0–1,0–3,3–1,0–1,1–1,,2–1,4–2,,,,,16,34,8,9,17,33,0.23529411764705882,0.5,0.3235294117647059
1985-86,17,Valladolid,0–1,2–1,2–2,4–2,3–0,4–0,1–0,3–1,4–2,1–0,1–0,3–2,4–1,2–0,0–1,3–3,,1–1,,,,,10,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1985-86,18,Zaragoza,0–1,0–0,1–3,1–1,3–0,6–0,1–0,1–0,4–0,1–1,1–0,1–1,3–1,1–1,0–0,2–1,1–0,,,,,,4,34,15,12,7,57,0.4411764705882353,0.20588235294117646,0.5588235294117647
1984-85,1,Athletic Bilbao,,2–2,1–0,1–1,0–0,2–1,4–1,4–1,1–0,5–0,1–0,0–0,1–1,0–0,2–0,3–2,1–1,0–3,,,,,3,34,13,15,6,54,0.38235294117647056,0.17647058823529413,0.5294117647058824
1984-85,2,Atlético Madrid,0–0,,1–2,2–0,1–0,2–2,1–0,3–0,2–1,3–0,2–1,0–1,2–1,1–1,0–0,2–3,2–0,0–1,,,,,2,34,16,11,7,59,0.47058823529411764,0.20588235294117646,0.5784313725490197
1984-85,3,FC Barcelona,0–0,2–2,,4–0,4–0,1–0,2–0,1–0,6–0,2–0,2–0,3–2,1–1,3–1,2–0,1–1,4–2,4–0,,,,,1,34,21,11,2,74,0.6176470588235294,0.058823529411764705,0.7254901960784313
1984-85,4,Betis,0–2,0–1,1–2,,2–0,3–1,1–0,0–1,0–2,3–1,1–2,4–1,0–0,1–2,1–2,1–3,1–1,2–0,,,,,17,34,6,14,14,32,0.17647058823529413,0.4117647058823529,0.3137254901960784
1984-85,5,Elche CF,1–0,1–0,0–0,2–1,,0–3,2–0,1–1,0–0,0–0,2–0,0–1,1–1,0–0,0–0,0–1,1–1,0–0,,,,,8,34,11,12,11,45,0.3235294117647059,0.3235294117647059,0.4411764705882353
1984-85,6,RCD Español,1–0,0–0,0–0,0–1,1–0,,2–2,0–0,1–0,1–0,5–0,2–0,1–3,1–0,2–2,3–2,2–2,3–2,,,,,15,34,9,12,13,39,0.2647058823529412,0.38235294117647056,0.38235294117647056
1984-85,7,Hércules CF,0–0,1–3,1–0,2–2,1–0,0–0,,1–1,2–1,1–1,2–0,2–2,0–0,0–0,1–1,2–0,2–1,0–0,,,,,16,34,7,15,12,36,0.20588235294117646,0.35294117647058826,0.35294117647058826
1984-85,8,CD Málaga,0–1,1–0,1–2,1–1,0–0,1–1,1–1,,0–0,2–1,2–0,1–1,1–3,0–1,0–0,0–0,3–1,2–0,,,,,18,34,6,10,18,28,0.17647058823529413,0.5294117647058824,0.27450980392156865
1984-85,9,Murcia,0–0,0–1,1–1,0–1,2–1,1–0,0–2,4–0,,0–0,3–1,0–1,2–2,2–0,0–3,0–3,1–2,0–3,,,,,6,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1984-85,10,Osasuna,1–2,0–0,1–2,1–2,2–2,5–0,2–1,1–0,2–0,,0–0,1–0,1–0,4–0,0–0,2–0,3–0,0–1,,,,,11,34,10,12,12,42,0.29411764705882354,0.35294117647058826,0.4117647058823529
1984-85,11,Racing de Santander,1–0,1–2,0–0,1–1,2–0,1–3,2–0,2–0,2–2,5–0,,0–0,1–0,1–0,1–0,1–1,1–0,1–1,,,,,14,34,11,8,15,41,0.3235294117647059,0.4411764705882353,0.4019607843137255
1984-85,12,Real Madrid,2–2,0–4,0–3,3–2,6–1,4–1,0–1,0–0,5–0,1–0,3–0,,1–1,1–2,0–0,1–0,2–0,1–2,,,,,5,34,13,10,11,49,0.38235294117647056,0.3235294117647059,0.4803921568627451
1984-85,13,Real Sociedad,1–2,0–4,0–0,0–1,2–0,2–0,4–0,0–1,4–0,0–2,0–0,0–3,,5–1,0–0,4–1,0–0,2–1,,,,,7,34,11,12,11,45,0.3235294117647059,0.3235294117647059,0.4411764705882353
1984-85,14,Sevilla FC,3–0,2–4,2–2,1–0,1–1,0–0,2–0,2–0,0–0,1–2,0–0,1–0,0–1,,0–1,0–0,0–2,2–1,,,,,12,34,10,11,13,41,0.29411764705882354,0.38235294117647056,0.4019607843137255
1984-85,15,Sporting de Gijón,1–1,2–1,2–2,1–1,2–0,1–0,4–0,2–0,1–0,1–0,0–0,1–1,1–0,2–0,,1–1,1–3,0–2,,,,,4,34,13,15,6,54,0.38235294117647056,0.17647058823529413,0.5294117647058824
1984-85,16,Valencia CF,1–1,0–0,2–5,0–1,0–0,5–1,3–0,1–1,1–1,0–0,0–0,1–0,2–0,0–0,0–2,,0–0,4–1,,,,,9,34,9,15,10,42,0.2647058823529412,0.29411764705882354,0.4117647058823529
1984-85,17,Valladolid,0–0,2–2,1–2,3–1,1–2,1–1,3–1,1–1,1–1,2–3,1–0,1–1,1–1,2–3,0–0,1–0,,1–1,,,,,13,34,7,16,11,37,0.20588235294117646,0.3235294117647059,0.3627450980392157
1984-85,18,Zaragoza,1–0,1–1,2–4,0–0,1–0,1–1,0–1,0–0,3–0,1–2,0–0,0–2,1–2,4–1,2–0,2–2,1–1,,,,,,10,34,11,11,12,44,0.3235294117647059,0.35294117647058826,0.43137254901960786
1983-84,1,Athletic Bilbao,,2–2,1–2,2–0,3–1,1–1,2–1,4–0,4–1,1–0,2–1,2–1,6–3,5–0,1–0,2–0,1–0,1–0,,,,,1,34,20,9,5,69,0.5882352941176471,0.14705882352941177,0.6764705882352942
1983-84,2,Atlético Madrid,1–0,,1–2,4–3,1–0,1–0,3–1,3–0,1–1,3–0,1–0,2–1,1–0,1–0,1–1,1–2,3–1,3–3,,,,,4,34,17,8,9,59,0.5,0.2647058823529412,0.5784313725490197
1983-84,3,FC Barcelona,4–0,2–1,,3–1,4–1,5–2,1–0,1–1,2–0,1–0,1–2,0–0,2–0,3–1,4–0,0–0,5–0,0–0,,,,,3,34,20,8,6,68,0.5882352941176471,0.17647058823529413,0.6666666666666666
1983-84,4,Betis,2–0,1–0,0–0,,2–1,4–1,2–0,2–0,1–0,1–0,4–1,0–0,1–0,1–0,3–0,3–2,3–1,3–1,,,,,16,34,6,10,18,28,0.17647058823529413,0.5294117647058824,0.27450980392156865
1983-84,5,Cádiz CF,0–1,3–1,1–1,0–0,,1–1,0–0,3–0,1–3,0–0,2–3,1–1,2–0,0–1,0–2,2–0,5–1,1–2,,,,,10,34,10,13,11,43,0.29411764705882354,0.3235294117647059,0.4215686274509804
1983-84,6,RCD Español,0–0,1–4,1–0,4–1,1–1,,1–1,3–1,1–1,2–0,1–2,2–2,3–0,1–0,2–0,1–2,2–0,0–0,,,,,9,34,11,11,12,44,0.3235294117647059,0.35294117647058826,0.43137254901960786
1983-84,7,CD Málaga,0–0,5–1,0–1,1–1,1–1,2–1,,2–0,1–0,1–2,6–2,2–2,2–1,1–0,3–1,2–1,3–1,0–1,,,,,17,34,3,15,16,24,0.08823529411764706,0.47058823529411764,0.23529411764705882
1983-84,8,RCD Mallorca,0–0,1–1,1–4,0–1,1–1,1–1,0–0,,1–1,3–0,0–2,2–1,1–1,2–2,1–2,1–2,1–1,1–1,,,,,11,34,10,12,12,42,0.29411764705882354,0.35294117647058826,0.4117647058823529
1983-84,9,Murcia,0–1,0–0,0–0,1–0,3–1,2–0,2–1,4–1,,4–0,0–1,3–1,1–0,1–1,2–1,3–3,1–2,0–0,,,,,15,34,11,6,17,39,0.3235294117647059,0.5,0.38235294117647056
1983-84,10,Osasuna,1–1,1–2,4–2,1–0,2–0,0–0,0–0,4–0,1–0,,1–1,0–3,0–0,3–0,1–0,2–0,3–0,1–4,,,,,5,34,17,4,13,55,0.5,0.38235294117647056,0.5392156862745098
1983-84,11,Real Madrid,0–0,5–0,2–1,2–0,6–2,1–0,1–0,2–0,3–2,2–0,,0–0,3–0,2–2,2–1,0–1,2–1,1–0,,,,,2,34,22,5,7,71,0.6470588235294118,0.20588235294117646,0.696078431372549
1983-84,12,Real Sociedad,0–1,3–1,0–1,1–0,1–0,1–1,0–2,1–0,0–0,1–0,1–3,,4–0,1–0,3–0,1–0,2–1,2–1,,,,,6,34,14,9,11,51,0.4117647058823529,0.3235294117647059,0.5
1983-84,13,UD Salamanca,1–2,2–2,1–3,1–3,1–0,2–2,1–0,1–1,2–2,3–1,0–1,1–1,,1–0,0–1,1–0,2–2,1–1,,,,,18,34,5,10,19,25,0.14705882352941177,0.5588235294117647,0.24509803921568626
1983-84,14,Sevilla FC,4–1,0–1,3–1,2–1,2–1,2–1,0–0,0–0,1–0,3–0,4–1,0–3,3–2,,1–1,2–0,2–1,2–0,,,,,8,34,13,8,13,47,0.38235294117647056,0.38235294117647056,0.46078431372549017
1983-84,15,Sporting de Gijón,2–2,2–0,0–0,2–0,2–1,0–1,2–0,0–3,1–1,2–1,1–2,1–2,1–1,1–0,,1–1,5–1,1–1,,,,,13,34,11,8,15,41,0.3235294117647059,0.4411764705882353,0.4019607843137255
1983-84,16,Valencia CF,1–2,1–2,2–4,3–1,1–1,4–0,1–1,2–2,1–1,2–0,0–0,2–1,1–0,2–0,0–3,,3–2,1–3,,,,,12,34,12,8,14,44,0.35294117647058826,0.4117647058823529,0.43137254901960786
1983-84,17,Valladolid,0–0,1–2,2–1,1–0,2–0,0–0,2–2,2–0,2–1,0–1,0–2,4–1,3–1,3–3,2–0,2–1,,2–1,,,,,14,34,11,7,16,40,0.3235294117647059,0.47058823529411764,0.39215686274509803
1983-84,18,Zaragoza,1–2,2–2,0–1,5–0,1–2,2–4,1–0,1–1,2–1,2–0,3–1,2–1,3–0,1–1,4–1,0–3,1–1,,,,,,7,34,12,11,11,47,0.35294117647058826,0.3235294117647059,0.46078431372549017
1982-83,1,Athletic Bilbao,,4–1,3–2,3–2,4–0,5–2,3–0,3–2,4–0,2–0,2–4,2–0,4–0,2–1,3–0,2–1,1–1,1–0,,,,,1,34,22,6,6,72,0.6470588235294118,0.17647058823529413,0.7058823529411765
1982-83,2,Atlético Madrid,0–0,,1–1,0–0,5–2,1–0,1–0,3–0,2–1,3–1,0–0,2–0,1–0,1–1,2–1,2–1,2–1,2–0,,,,,3,34,20,6,8,66,0.5882352941176471,0.23529411764705882,0.6470588235294118
1982-83,3,FC Barcelona,0–1,2–1,,1–1,2–2,1–0,7–2,2–1,3–0,0–2,2–1,1–0,3–0,1–0,1–1,1–0,3–0,1–1,,,,,4,34,17,10,7,61,0.5,0.20588235294117646,0.5980392156862745
1982-83,4,Betis,5–1,1–3,1–1,,0–1,1–0,3–1,1–1,4–2,2–1,1–1,1–1,1–1,1–2,1–0,2–0,1–1,2–2,,,,,17,34,9,6,19,33,0.2647058823529412,0.5588235294117647,0.3235294117647059
1982-83,5,Celta de Vigo,0–1,0–4,0–4,1–2,,2–2,3–0,2–2,2–1,1–0,0–2,0–1,2–0,1–0,0–0,2–1,1–0,0–2,,,,,9,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1982-83,6,RCD Español,3–2,1–2,0–3,0–2,1–0,,2–0,3–0,3–0,1–0,1–1,1–0,1–1,1–1,3–2,5–2,2–0,3–2,,,,,16,34,7,11,16,32,0.20588235294117646,0.47058823529411764,0.3137254901960784
1982-83,7,UD Las Palmas,1–5,1–2,2–1,1–0,2–2,0–0,,1–2,2–1,2–1,0–3,2–0,4–1,1–1,1–1,1–1,2–2,1–0,,,,,10,34,10,10,14,40,0.29411764705882354,0.4117647058823529,0.39215686274509803
1982-83,8,CD Málaga,0–0,0–2,1–4,1–0,1–0,2–1,3–1,,1–0,3–0,2–1,1–0,2–3,0–0,1–1,3–1,2–2,1–3,,,,,14,34,10,6,18,36,0.29411764705882354,0.5294117647058824,0.35294117647058826
1982-83,9,Osasuna,2–2,4–2,1–0,0–0,4–1,4–0,1–1,1–0,,4–2,2–1,0–1,1–0,0–1,2–0,2–1,1–1,1–2,,,,,18,34,9,5,20,32,0.2647058823529412,0.5882352941176471,0.3137254901960784
1982-83,10,Racing de Santander,0–2,4–0,0–4,2–2,2–0,1–2,2–1,0–0,3–0,,1–2,1–1,1–1,2–2,2–1,4–1,5–0,2–1,,,,,11,34,9,12,13,39,0.2647058823529412,0.38235294117647056,0.38235294117647056
1982-83,11,Real Madrid,2–0,3–1,0–2,1–0,3–0,2–2,1–0,1–0,2–1,5–1,,4–0,1–0,1–0,1–0,5–1,2–0,1–0,,,,,2,34,20,9,5,69,0.5882352941176471,0.14705882352941177,0.6764705882352942
1982-83,12,Real Sociedad,1–1,1–0,1–0,2–0,1–0,0–2,1–1,2–0,2–0,2–0,0–0,,4–1,0–0,0–0,2–0,2–1,0–0,,,,,7,34,12,12,10,48,0.35294117647058826,0.29411764705882354,0.47058823529411764
1982-83,13,UD Salamanca,0–1,1–2,1–1,2–1,1–0,1–0,1–1,2–1,2–0,3–0,0–0,0–0,,2–3,0–2,1–0,1–0,2–0,,,,,13,34,10,8,16,38,0.29411764705882354,0.47058823529411764,0.37254901960784315
1982-83,14,Sevilla FC,2–1,1–1,0–0,2–0,1–0,2–1,2–0,2–2,1–0,2–0,2–2,2–1,0–0,,1–0,3–1,3–0,1–2,,,,,5,34,15,12,7,57,0.4411764705882353,0.20588235294117646,0.5588235294117647
1982-83,15,Sporting de Gijón,1–1,2–3,0–0,2–2,0–0,1–0,1–0,3–0,2–1,2–1,1–1,0–0,1–0,1–1,,1–1,0–0,2–1,,,,,8,34,9,15,10,42,0.2647058823529412,0.29411764705882354,0.4117647058823529
1982-83,16,Valencia CF,1–2,1–0,2–1,4–2,0–1,2–1,0–0,1–1,1–1,2–1,1–0,2–1,4–1,4–0,1–1,,1–1,1–2,,,,,15,34,9,7,18,34,0.2647058823529412,0.5294117647058824,0.3333333333333333
1982-83,17,Valladolid,0–2,1–3,1–3,2–0,3–1,1–0,1–0,0–0,1–1,2–0,2–2,1–1,3–0,1–4,1–0,1–0,,2–1,,,,,12,34,9,11,14,38,0.2647058823529412,0.4117647058823529,0.37254901960784315
1982-83,18,Zaragoza,2–1,2–1,2–2,2–0,4–0,3–1,0–0,2–1,4–0,7–2,0–1,1–1,3–2,1–0,0–1,3–2,4–1,,,,,,6,34,17,6,11,57,0.5,0.3235294117647059,0.5588235294117647
1981-82,1,Athletic Bilbao,,2–0,1–1,5–1,3–0,2–1,3–1,3–1,3–1,5–1,4–1,1–2,1–1,2–0,2–1,1–0,4–0,4–1,,,,,4,34,18,4,12,58,0.5294117647058824,0.35294117647058826,0.5686274509803921
1981-82,2,Atlético Madrid,2–0,,0–1,1–0,1–0,3–0,1–0,1–0,3–1,2–1,0–0,2–3,2–0,1–2,1–1,2–1,2–0,1–0,,,,,8,34,15,4,15,49,0.4411764705882353,0.4411764705882353,0.4803921568627451
1981-82,3,FC Barcelona,2–2,2–0,,2–2,4–0,4–3,1–3,5–0,4–0,2–0,5–1,3–1,2–0,2–0,1–0,5–1,3–1,2–1,,,,,2,34,19,7,8,64,0.5588235294117647,0.23529411764705882,0.6274509803921569
1981-82,4,Betis,2–1,3–1,2–0,,2–0,3–1,2–0,1–2,4–1,2–0,1–1,0–0,0–1,2–0,2–0,2–3,4–0,2–0,,,,,16,34,13,3,18,42,0.38235294117647056,0.5294117647058824,0.4117647058823529
1981-82,5,Cádiz CF,3–0,1–0,1–0,0–2,,5–1,0–0,3–2,0–2,1–0,1–0,1–0,2–1,2–0,3–1,0–0,0–0,1–0,,,,,18,34,3,6,25,15,0.08823529411764706,0.7352941176470589,0.14705882352941177
1981-82,6,CD Castellón,1–2,3–0,1–6,0–0,0–1,,1–4,1–2,1–1,1–1,0–0,1–2,1–3,0–3,0–2,1–4,1–1,2–1,,,,,13,34,13,6,15,45,0.38235294117647056,0.4411764705882353,0.4411764705882353
1981-82,7,RCD Español,1–0,2–2,0–4,2–4,1–0,3–2,,0–1,2–1,0–1,1–1,1–0,2–1,2–0,5–1,3–2,3–1,0–1,,,,,17,34,11,5,18,38,0.3235294117647059,0.5294117647058824,0.37254901960784315
